59, 635
69, 637
80, 639
93, 642
108, 643
123, 645
141, 649
154, 651
169, 655
183, 656
198, 658
215, 662
232, 664
248, 666
262, 666
279, 668
287, 668
301, 668
318, 669
336, 671
353, 671
376, 671
397, 668
419, 669
432, 663
448, 657
465, 649
480, 643
491, 637
504, 626
517, 612
524, 604
536, 591
546, 581
557, 570
564, 556
570, 544
577, 532
584, 515
594, 497
597, 486
599, 472
602, 456
603, 447
604, 436
605, 425
603, 409
604, 395
602, 383
601, 367
602, 358
602, 351
596, 339
582, 318
576, 306
564, 289
554, 272
547, 262
543, 254
539, 243
535, 236
527, 229
519, 217
509, 207
501, 198
495, 187
485, 177
478, 170
467, 157
458, 145
442, 131
441, 125
431, 116
424, 108
414, 99
400, 93
385, 85
373, 79
365, 73
354, 68
340, 60
332, 54
317, 50
308, 50
291, 48
270, 48
253, 46
238, 46
222, 49
206, 54
184, 57
169, 61
155, 69
141, 77
129, 87
114, 96
102, 105
87, 117
68, 131
52, 144
41, 156
30, 170
29, 176
37, 185
47, 198
51, 210
55, 225
58, 244
60, 263
60, 281
60, 296
59, 313
58, 336
55, 353
53, 370
52, 392
52, 407
52, 420
51, 433
51, 448
50, 461
49, 474
48, 489
46, 503
44, 517
43, 534
40, 552
40, 564
39, 578
36, 596
40, 605
45, 615
50, 625
57, 634
